description,product_url,source,product_name,image_url,category,price,colors,brand,material,timestamp,id
Mickey Mouse Print Oversize Pure Cotton T-shirt,https://www.myntra.com/tshirts/kook+n+keech+disney/kook-n-keech-disney-mickey-mouse-print-oversize-pure-cotton-t-shirt/31391125/buy,myntra.com,Kook N Keech Disney Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/31391125/2025/1/10/63a262e0-cae6-481d-8237-cd1dfe9458251736494025037-Kook-N-Keech-Disney-Men-Tshirts-5661736494024535-1.jpg",Tshirts,₹417,[],Kook N Keech Disney,Pure Cotton,1739499588.669397,1fSqkmIVaSymmzj5AmjZ
Canvas Cargo Trousers,https://www.myntra.com/trousers/h%26m/-hm-canvas-cargo-trousers/30245640/buy,myntra.com,H&M Trousers,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/JULY/17/jBSkdOTN_3ade781ca05c438990ef77154f0060f5.jpg",Trousers,₹1039,[],H&M,,1739500999.786233,1hUmxOhSvs9Esv7Cy3t6
Men Pima Crew Neck Tshirt,https://www.myntra.com/tshirts/creatures+of+habit/creatures-of-habit-men-pima-crew-neck-tshirt/30564810/buy,myntra.com,Creatures of Habit Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/AUGUST/12/ym8ykoes_923513b2d97b419a913f92d3a7185bfd.jpg",Tshirts,₹ 1799,[],Creatures of Habit,Organic Cotton,1739499182.092389,1mNA7JSUAivJGN3QoHAY
Loose Fit T-Shirt,https://www.myntra.com/tshirts/h%26m/hm-loose-fit-t-shirt/31949264/buy,myntra.com,H&M Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/31949264/2024/12/17/2b19e91a-78ae-4b4f-987b-4cac3b43278b1734439466177-HM-Loose-Fit-T-Shirt-7601734439465778-1.jpg",Tshirts,₹679,[],H&M,Cotton,1739499812.191623,1nUhx8syYlOB7x8GjzKF
Graphic Printed Cotton Oversized T-shirt,https://www.myntra.com/tshirts/fabflee/fabflee-graphic-printed-cotton-oversized-t-shirt/25992760/buy,myntra.com,Fabflee Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25992760/2025/2/3/49e71d97-f220-4996-b0ac-daac8e2162131738589830233-Fabflee-Graphic-Printed-Cotton-Oversized-T-shirt-48017385898-1.jpg",Tshirts,₹239,[],Fabflee,Cotton,1739499792.946233,1wFJDduWPS4q30GBhh7b
Black Spread Collar Washed Crop Denim Jacket,https://www.myntra.com/jackets/sassafras/sassafras-black-spread-collar-washed-crop-denim-jacket/25869062/buy,myntra.com,SASSAFRAS Jackets,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25869062/2023/11/13/f486b605-cce9-40f7-979a-6c2c31ec8f201699852984026SASSAFRASWomenBlackWashedCropDenimJacketwithEmbroidered1.jpg",Jackets,₹1199,[],SASSAFRAS,Unlined,1739500605.74244,1yWZGpcCEzptWcgeLp82
Polo Collar T-shirt,https://www.myntra.com/tshirts/allen+solly/allen-solly-polo-collar-t-shirt/31355846/buy,myntra.com,Allen Solly Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/31355846/2025/1/10/47809ad8-7e74-43e3-8f50-32750033aae71736481086520-Allen-Solly-Men-Tshirts-1961736481086188-1.jpg",Tshirts,₹870,[],Allen Solly,Cotton,1739499864.712613,20yY6ebYGhtm76YblcMt
Water-Repellent Longline Hooded Padded Jacket,https://www.myntra.com/jackets/mango/mango-water-repellent-longline-hooded-padded-jacket/31842792/buy,myntra.com,MANGO Jackets,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/DECEMBER/13/taY31wh6_274d7bc411624072868538a99e556eb4.jpg",Jackets,₹4394,[],MANGO,Nylon,1739500618.368215,23HSpC7jlZdU2B30D8dR
Women Pure Cotton Canvas Cargo Trousers,https://www.myntra.com/trousers/h%26m/hm-women-pure-cotton-canvas-cargo-trousers/26542242/buy,myntra.com,H&M Trousers,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26542242/2023/12/20/871aedc3-a463-4a0d-81fd-b05c4a3842c21703052396245Canvascargotrousers1.jpg",Trousers,₹ 1499,[],H&M,,1739500873.187913,26Vk7FWAYJANVSyHBGNR
Boys Pure Cotton Twill Joggers,https://www.myntra.com/trousers/h%26m/hm-boys-pure-cotton-twill-joggers/26313184/buy,myntra.com,H&M Trousers,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26313184/2023/12/8/6b11fd36-a6f3-4ec6-b11a-06f361b554711702014576278Twilljoggers1.jpg",Trousers,₹ 699,[],H&M,,1739500978.212554,2B2fh9aVvkqVKShJJZqH
Women Printed Cotton Lounge T-Shirt,https://www.myntra.com/lounge-tshirts/r%26b/rb-women-printed-cotton-lounge-t-shirt/32325354/buy,myntra.com,R&B Lounge Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/32325354/2025/1/13/ea5d253d-84cb-421d-a42b-2d450d71c4b41736766310560LoungeTshirts1.jpg",Lounge Tshirts,₹ 499,[],R&B,Cotton,1739499845.565247,2FuQm5vjHJlfLC8l9D2k
Athleisure Basic Workout Dry Fit Crew Neck Activewear Tshirt,https://www.myntra.com/tshirts/enamor/enamor-athleisure-basic-workout-dry-fit-crew-neck-activewear-tshirt/30464810/buy,myntra.com,Enamor Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/AUGUST/2/XnFpRZbC_944a0743e46b4eb09c1724e14d8a85ed.jpg",Tshirts,₹356,[],Enamor,Polyester,1739500092.777847,2SLLdcNjcHE70PyTYGw8
Women Flared Fit High-Rise Parallel Trousers,https://www.myntra.com/trousers/chic+by+tokyo+talkies/chic-by-tokyo-talkies-women-flared-fit-high-rise-parallel-trousers/24567748/buy,myntra.com,CHIC BY TOKYO TALKIES Trousers,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24567748/2023/8/21/8419e994-5efa-4c23-9eaa-a3868c4b5a9c1692596118806TokyoTalkiesWomenBlackFlaredTrousers1.jpg",Trousers,₹325,[],CHIC BY TOKYO TALKIES,,1739500778.473519,2UY7E0dbTjdravNUhZC0
Men Cotton Slim Fit Trousers,https://www.myntra.com/trousers/rare+rabbit/rare-rabbit-men-cotton-slim-fit-trousers/21850830/buy,myntra.com,RARE RABBIT Trousers,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21850830/2024/3/28/3e582d97-1617-4bcf-bddf-318bf97968ed1711623279890-RARE-RABBIT-Men-Cotton-Slim-Fit-Trousers-9391711623279841-6.jpg",Trousers,₹2183,[],RARE RABBIT,,1739501045.798029,2g7be2msBZTAIJrF7TYt
Women White Skinny Fit Jeans,https://www.myntra.com/jeans/zheia/zheia-women-white-skinny-fit-jeans/20619902/buy,myntra.com,ZHEIA Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20619902/2022/11/4/c4493f0e-a7d7-4f9e-8a72-5d55fdfe2ed51667552086079Jeans5.jpg",Jeans,₹944,[],ZHEIA,,1739501260.198856,2hmycOeOpQ3SygWE1TYl
Boys Opaque Casual Shirt,https://www.myntra.com/shirts/max/max-boys-opaque-casual-shirt/32517139/buy,myntra.com,max Shirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JANUARY/27/9z46IiqR_ace4e8ac743c4b12b2c887e6f4c8333e.jpg",Shirts,₹ 599,[],max,,1739499511.605969,2oLFFGpZCQ8ryoFkfI0U
Boys Naruto Graphic Printed Round Neck Oversized T-shirt,https://www.myntra.com/tshirts/nusyl/nusyl-boys-naruto-graphic-printed-round-neck-oversized-t-shirt/29992464/buy,myntra.com,NUSYL Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29992464/2024/6/19/29c0ef8e-91a6-4811-9d1c-135951486ae61718741187194NUSYLBoysPrintedAppliqueT-shirt1.jpg",Tshirts,₹373,[],NUSYL,Cotton,1739499820.891865,2vyoLPIkxKvpgGAvNuWQ
Girls Hooded Abstract Printed Casual Padded Lightweight Jacket,https://www.myntra.com/jackets/well+quality/well-quality-girls-hooded-abstract-printed-casual-padded-lightweight-jacket/32183984/buy,myntra.com,WELL QUALITY Jackets,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/32183984/2025/1/4/136ac1ca-11cd-44f3-9769-3b95f6038bdb1735974794886WELLQUALITYGirlsLightweightOutdoorPufferJacket1.jpg",Jackets,₹639,[],WELL QUALITY,Polyester,1739500621.752115,3TNF76OOcHY5XftA6wr8
Women Shawl Collar Self Design Casual Parka Jacket,https://www.myntra.com/jackets/kazo/kazo-women-shawl-collar-self-design-casual-parka-jacket/31895616/buy,myntra.com,Kazo Jackets,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/DECEMBER/9/yRvU76eJ_c84cc3d015c34052a4dbd7d0932fa6c7.jpg",Jackets,₹3245,[],Kazo,Polyester,1739500461.559543,3hB4vaY5MQAmL3i1j19e
Typography Printed Drop-Shoulder Sleeves Pure Cotton Longline T-shirt,https://www.myntra.com/tshirts/kook+n+keech/kook-n-keech-typography-printed-drop-shoulder-sleeves-pure-cotton-longline-t-shirt/23958962/buy,myntra.com,Kook N Keech Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23958962/2023/8/4/a4c6ddaa-dbed-4644-b2a4-2c0fb76ef2b21691141196770-Kook-N-Keech-Women-Tshirts-9071691141196409-1.jpg",Tshirts,₹472,[],Kook N Keech,Cotton,1739499735.11938,3jWMsIe5gnGv9nUtZEJC
Men Relaxed Trousers,https://www.myntra.com/trousers/banana+club/banana-club-men-relaxed-trousers/29962338/buy,myntra.com,Banana Club Trousers,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29962338/2024/6/13/ec3190d5-53df-492f-923c-11f5de88dbb61718286182891BananaClubMenRelaxedTrousers1.jpg",Trousers,₹ 1049,[],Banana Club,,1739500839.293021,3skyKW2YMtJpkKwrmBTd
Anti Odor Cool Tech Crew Neck Tshirt for Men,https://www.myntra.com/tshirts/turms/turms-anti-odor-cool-tech-crew-neck-tshirt-for-men/31036244/buy,myntra.com,TURMS Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/19/shFO7aJe_feacec54bba9419581a20f9ce577df48.jpg",Tshirts,₹1519,[],TURMS,Cotton,1739500043.620729,43Q3txqZLdXF818mPk3k
Women Hooded Solid Cotton Casual Parka Jacket,https://www.myntra.com/jackets/v-mart/v-mart-women-hooded-solid-cotton-casual-parka-jacket/32350244/buy,myntra.com,V-Mart Jackets,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JANUARY/16/nlwyREGH_c4b37ef5efb24ff59e5888e3f981ccfa.jpg",Jackets,₹ 1499,[],V-Mart,Polyester,1739500624.855608,4DdAnBTMFFZDruj2i4jc
Girls Slim Fit Clean Look Mid-Rise Stretchable Jeans,https://www.myntra.com/jeans/justice/justice-girls-slim-fit-clean-look-mid-rise-stretchable-jeans/27651578/buy,myntra.com,JUSTICE Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27651578/2024/2/16/299b1d6f-929a-48b9-9625-cee3727ae06a1708091128862JUSTICEGirlsSlimFitJeans1.jpg",Jeans,₹599,[],JUSTICE,,1739501162.784947,4EsxyNWj8fTcbygPIp1q
Wide Pull-On Trousers,https://www.myntra.com/trousers/h%26m/hm-wide-pull-on-trousers/32494680/buy,myntra.com,H&M Trousers,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JANUARY/27/2gbTGdT0_b1f5b7c14cb84de5a4e2f3011a646d0c.jpg",Trousers,₹ 1499,[],H&M,,1739500894.857665,4GgLQ9vBr2Oh8GPitgQx
Combed Cotton French Terry Jacket with Ribbed Cuffs-2730,https://www.myntra.com/jackets/jockey/jockey-combed-cotton-french-terry-jacket-with-ribbed-cuffs-2730/19940238/buy,myntra.com,Jockey Jackets,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/19940238/2024/2/1/b75bb9f5-4d12-409a-b74e-58b1bede3e3b1706783741033JockeyMenGreySolidSweatshirt1.jpg",Jackets,₹ 1899,[],Jockey,Cotton,1739500639.076679,4Q4O2evTI57oITjMoAdC
Kids Pack of 2 Mickey Mouse Printed Cotton T-shirt,https://www.myntra.com/tshirts/minicult/minicult-kids-pack-of-2-mickey-mouse-printed-cotton-t-shirt/21070948/buy,myntra.com,Minicult Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21070948/2022/12/5/0916d0a1-06a4-4bc6-8921-89e4490675ad1670225466970Tshirts1.jpg",Tshirts,₹624,[],Minicult,Cotton,1739499833.101807,4Qom2ZC6mdX8Fm7FMig9
Men Lightweight Antimicrobial Sports Jacket,https://www.myntra.com/jackets/technosport/technosport-men-lightweight-antimicrobial-sports-jacket/21815460/buy,myntra.com,Technosport Jackets,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21815460/2023/2/2/69fd028d-5a65-4edb-b3a0-7f215202edb51675339321328TechnosportMenScaleBlueHoodedJacket1.jpg",Jackets,₹ 739,[],Technosport,Polyester,1739500507.020081,4SqyOVL8tiMTdvg8Vb8q
Girls Hooded Solid Cotton Casual Parka Jacket,https://www.myntra.com/jackets/v-mart/v-mart-girls-hooded-solid-cotton-casual-parka-jacket/32346205/buy,myntra.com,V-Mart Jackets,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JANUARY/15/OVIgfRhU_55f4849897b7483397d18b79817cffe7.jpg",Jackets,₹ 799,[],V-Mart,Polyester,1739500682.384408,4X3xSaNo7HMY4lg7d3G5
The Lifestyle Co Linen Relaxed-Fit Regular Trousers,https://www.myntra.com/trousers/roadster/the-roadster-lifestyle-co-linen-relaxed-fit-regular-trousers/30063124/buy,myntra.com,Roadster Trousers,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30063124/2024/6/28/af6c493c-30ec-450e-b588-e565911532a81719562420746TheRoadsterLifestyleCoLinenRelaxed-FitRegularTrousers1.jpg",Trousers,₹839,[],Roadster,,1739501019.588831,4gYkcIl8cycQAHSq9zAD
Women Typography Printed Round Neck Cotton Oversized T-shirt,https://www.myntra.com/tshirts/leotude/leotude-women-typography-printed-round-neck-cotton-oversized-t-shirt/31940534/buy,myntra.com,Leotude Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/31940534/2024/12/11/eae97ce9-d7f7-4f7e-996b-71ab0dfa177e1733924081933LeotudeWomenPrintedT-shirt1.jpg",Tshirts,₹289,[],Leotude,Cotton,1739499639.224841,4tpqwkLdEpPbHJ02yc3K
Universe Balance Typography Printed Drop-Shoulder Sleeves Cotton Oversized T-shirt,https://www.myntra.com/tshirts/nobero/nobero-universe-balance-typography-printed-drop-shoulder-sleeves-cotton-oversized-t-shirt/28699000/buy,myntra.com,NOBERO Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28699000/2024/6/7/95501012-dbb0-4085-b76f-5a34e57225c91717736865405-NOBERO-Universe-Balance-Typography-Printed-Drop-Shoulder-Sle-7.jpg",Tshirts,₹599,[],NOBERO,Cotton,1739499728.96264,4vDBIISIDUKmVRBHZpbo
Boys Mid-Rise Low Distress Pure Cotton Heavy Fade Jeans,https://www.myntra.com/jeans/max/max-boys-mid-rise-low-distress-pure-cotton-heavy-fade-jeans/30643970/buy,myntra.com,max Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/AUGUST/20/Kf2J3HLu_da4ffc65416e40eda8914f78f6e0ae2a.jpg",Jeans,₹ 699,[],max,,1739500413.215575,4zFKZOjVfcdei2icDO7x
Men White Slim Fit Casual Shirt,https://www.myntra.com/shirts/highlander/highlander-men-white-slim-fit-casual-shirt/2050688/buy,myntra.com,HIGHLANDER Shirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2050688/2025/1/6/1f699f99-d02a-462e-8b81-bbd048b0df341736171071885-HIGHLANDER-Men-White-Slim-Fit-Casual-Shirt-3951736171071282-1.jpg",Shirts,₹318,[],HIGHLANDER,,1739499425.961156,50hHLdFFI34tuNhn22QN
Men Blue Slim Fit Stretchable Jeans,https://www.myntra.com/jeans/wrogn/wrogn-men-blue-slim-fit-stretchable-jeans/15068958/buy,myntra.com,WROGN Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15068958/2021/10/21/ac72d6e2-84aa-4eb5-9406-85df29a37d251634800164585-WROGN-Men-Jeans-621634800163763-1.jpg",Jeans,₹1301,[],WROGN,,1739501331.889145,50i1m3oSA9JevgxMQyQQ
Men Solid Hood Padded Jacket,https://www.myntra.com/jackets/red+tape/red-tape-men-solid-hood-padded-jacket/30839069/buy,myntra.com,Red Tape Jackets,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30839069/2025/1/7/e6950409-cfe6-4b91-9ebd-ca70d01df90c1736243357914-Red-Tape-Men-Solid-Hood-Padded-Jacket-2971736243357453-1.jpg",Jackets,₹2309,[],Red Tape,Polyester,1739500602.532893,55ig5zlvf1AvkBG6cJrN
Women Lime Green Jean High-Rise Stretchable Jeans,https://www.myntra.com/jeans/fck-3/fck-3-women-lime-green-jean-high-rise-stretchable-jeans/19475010/buy,myntra.com,FCK-3 Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/19475010/2022/8/12/7f4128c6-b216-4d6a-9609-48871ff8a00a1660303615844FCK-3WomenLimeGreenJeanHigh-RiseStretchableJeans1.jpg",Jeans,₹1494,[],FCK-3,,1739500395.302668,5EGZJo1xjcEKsIIpNVj2
Solid Manhattan Slim Fit Pure Cotton Formal Shirt,https://www.myntra.com/shirts/arrow/arrow-solid-manhattan-slim-fit-pure-cotton-formal-shirt/23909770/buy,myntra.com,Arrow Shirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23909770/2023/8/7/6781ac69-9293-4437-8f52-a75c0ca4971b1691399383941-Arrow-Men-Shirts-9271691399383492-1.jpg",Shirts,₹1539,[],Arrow,,1739499438.634492,5GDAhOPoNYDo1FJIadbp
Women Straight Fit High-Rise Clean Look Light Fade Whiskers Cotton Jeans,https://www.myntra.com/jeans/fashionfibre/fashionfibre-women-straight-fit-high-rise-clean-look-light-fade-whiskers-cotton-jeans/29792360/buy,myntra.com,FASHIONFIBRE Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29792360/2024/5/25/e8fb4bbb-243b-44f2-9f39-adbe7f8ca99e1716637300703FASHIONFIBREWomenStraightFitHigh-RiseLightFadeStretchableJea1.jpg",Jeans,₹1259,[],FASHIONFIBRE,,1739501191.971674,5HU3SFUOWr30D2xw4gU3
